Book Name,Author,Rating,Customers_Rated,Price
SAS Ghost Patrol: The Ultra-Secret Unit That Posed as Nazi Stormtroopers,Damien Lewis,4.6 out of 5 stars,739,$9.99
Gideon Parnell: Hunting An Arizona Killer: A Western Adventure (A Gideon Parnell Western Book 3),C. Wayne Winkle,4.4 out of 5 stars,204,$0.99
Cowboys Bleed Red (Westward Saga Western) (A Western Adventure Fiction),Frank Wheeler,4.6 out of 5 stars,3,$0.99
Crazy Horse and Custer: The Parallel Lives of Two American Warriors,Stephen E. Ambrose,4.5 out of 5 stars,"1,830",$2.99
Gideon Parnell: The Beginning: A Western Adventure (A Gideon Parnell Western Book 1),C. Wayne Winkle,4.2 out of 5 stars,442,$0.99
The Right Stuff,Tom Wolfe,4.6 out of 5 stars,"1,805,579",$3.99
Israel: A History,Martin Gilbert,4.5 out of 5 stars,190,$10.99
Blood Over Texas (Westward Saga Western) (A Western Adventure Fiction),Frank Wheeler,4.3 out of 5 stars,103,$0.99
The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,4.8 out of 5 stars,"12,763",$14.99
"Bitter Blood: A True Story of Southern Family Pride, Madness, and Multiple Murder",Jerry Bledsoe,4.4 out of 5 stars,"1,164",$8.54
"The Indispensables: The Diverse Soldier-Mariners Who Shaped the Country, Formed the Navy, and Rowed Washington Across…",Patrick K. O'Donnell,4.8 out of 5 stars,260,$12.99
The Meaning of Mary Magdalene: Discovering the Woman at the Heart of Christianity,Cynthia Bourgeault,4.6 out of 5 stars,569,$14.99
Gideon Parnell: Following The Corrigan Duo: A Western Adventure (A Gideon Parnell Western Book 4),C. Wayne Winkle,4.4 out of 5 stars,136,$0.99
Freedom Just Around the Corner: A New American History: 1585-1828,Walter A. McDougall,4.4 out of 5 stars,38,$6.99
The Art of War (AmazonClassics Edition),Sun Tzu,4.4 out of 5 stars,"1,703",$2.99
"The Crisis Years: Kennedy and Khrushchev, 1960–1963",Michael Beschloss,4.6 out of 5 stars,72,$1.99
"""Guns Don't Kill People, People Kill People"": And Other Myths About Guns and Gun Control",Dennis A. Henigan,4.0 out of 5 stars,35,$12.99
Kiyo's Story: A Japanese-American Family's Quest for the American Dream,Kiyo Sato,4.6 out of 5 stars,86,$9.99
Explosive (The Houston Defiance MC Series Book 1),K E Osborn,4.5 out of 5 stars,286,$2.99
The Radium Girls: The Dark Story of America's Shining Women,Kate Moore,4.6 out of 5 stars,"7,808",$7.59
Where The Sky Never Ends: A Western Adventure,C. Wayne Winkle,4.5 out of 5 stars,601,$0.99
"Their Journey to Love: 15 Book Box Set of Sweet, Clean, Mail Order Bride Western Historical Romance",Montana Ross,4.5 out of 5 stars,16,$0.99
The Federalist Papers (AmazonClassics Edition),Alexander Hamilton,4.7 out of 5 stars,"6,494",$2.99
The Devil in the White City: A Saga of Magic and Murder at the Fair that Changed America,Erik Larson,4.4 out of 5 stars,"8,641",$10.99
Blood Red Snow: The Memoirs of a German Soldier on the Eastern Front,Günter K. Koschorrek,4.5 out of 5 stars,"1,652",$10.99
"History of Virginia: A Captivating Guide to the History of the Mother of States, Starting from Jamestown through the…",Captivating History,4.7 out of 5 stars,20,$0.99
Papa Hemingway: A Personal Memoir,A. E. Hotchner,4.6 out of 5 stars,354,$1.99
Smokescreen: A classic racing mystery from the king of crime,Dick Francis,4.6 out of 5 stars,573,$0.99
"Work: A Deep History, from the Stone Age to the Age of Robots",James Suzman,4.6 out of 5 stars,96,$14.99
"Women of Means: Fascinating Biographies of Royals, Heiresses, Eccentrics and Other Poor Little Rich Girls (Celebrating…",Marlene Wagman-Geller,4.2 out of 5 stars,"1,068",$11.99
The Secret Life of the Savoy: Glamour and Intrigue at the World's Most Famous Hotel,Olivia Williams,4.0 out of 5 stars,21,$18.99
Matt's War (Post-Civil War Western Justice),William Black,4.2 out of 5 stars,161,$0.99
Jubal Stone: U.S. Marshal: An Eye For An Eye: A Western Adventure Novel Sequel (A Jubal Stone: U.S. Marshal Western Book…,Casey Nash,4.4 out of 5 stars,219,$0.99
King Richard: Nixon and Watergate--An American Tragedy,Michael Dobbs,4.5 out of 5 stars,75,$14.99
The Last Madam: A Life in the New Orleans Underworld,Chris Wiltz,4.1 out of 5 stars,908,$9.99
Jason Foster (Post-Civil War Western Justice),William Black,4.5 out of 5 stars,92,$0.99
Atlantis: The Find of a Lifetime,Christos A. Djonis,5.0 out of 5 stars,8,$0.99
Thunderstruck,The #1 New York Times bestselling,4.4 out of 5 stars,"2,900",$8.99
Jesus and John Wayne: How White Evangelicals Corrupted a Faith and Fractured a Nation,Kristin Kobes Du Mez,4.7 out of 5 stars,"1,366",$12.81
Napoleon's Hemorrhoids: And Other Small Events That Changed History,Phil Mason,4.2 out of 5 stars,450,$10.99
"First Friends: The Powerful, Unsung (And Unelected) People Who Shaped Our Presidents",Gary Ginsberg,-1,0,$14.99
The Jesus Mysteries: Was The Original Jesus A Pagan God?,Tim Freke,4.5 out of 5 stars,506,$2.99
Hindu Myths: Captivating Indian Myths and Legends from the Bhagavata Purana and Mahabharata,Matt Clayton,4.7 out of 5 stars,16,$0.99
As Good As Dead (Westward Saga Western)(A Western Adventure Fiction),Frank Wheeler,4.3 out of 5 stars,226,$0.99
A Devil of a Whipping: The Battle of Cowpens,Lawrence E. Babits,4.5 out of 5 stars,192,$9.99
